admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
Ban Chang Lo,TH102005,Bangkok Noi,TH1020,Bangkok,TH10,Thailand,TH,0.062161,0.000193
Ban Chi,TH160605,Ban Mi,TH1606,Lop Buri,TH16,Thailand,TH,0.232046,0.002722
Ban Chian,TH180602,Hankha,TH1806,Chai Nat,TH18,Thailand,TH,0.389996,0.004679
Ban Chiang,TH361401,Phakdi Chumphon,TH3614,Chaiyaphum,TH36,Thailand,TH,1.095334,0.016984
Ban Chiang,TH410609,Nong Han,TH4106,Udon Thani,TH41,Thailand,TH,0.373009,0.005076
Ban Chiet,TH412401,Ku Kaeo,TH4124,Udon Thani,TH41,Thailand,TH,0.374835,0.003499
Ban Chop,TH321015,Sangkha,TH3210,Surin,TH32,Thailand,TH,0.515686,0.005834
Ban Chuan,TH360701,Bamnet Narong,TH3607,Chaiyaphum,TH36,Thailand,TH,0.844643,0.007734
Ban Chung,TH140304,Nakhon Luang,TH1403,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.202877,0.001878
Ban Daen,TH600505,Banphot Phisai,TH6005,Nakhon Sawan,TH60,Thailand,TH,0.457035,0.005451
Ban Daeng,TH341122,Trakan Phuet Phon,TH3411,Ubon Ratchathani,TH34,Thailand,TH,0.232218,0.002309
Ban Daeng,TH412301,Phibun Rak,TH4123,Udon Thani,TH41,Thailand,TH,0.49464,0.005469
Ban Dai,TH570908,Mae Sai,TH5709,Chiang Rai,TH57,Thailand,TH,0.327153,0.002923
Ban Dan,TH270613,Aranyaprathet,TH2706,Sa Kaeo,TH27,Thailand,TH,0.409436,0.00341
Ban Dan,TH312101,Ban Dan,TH3121,Buri Ram,TH31,Thailand,TH,0.378186,0.004367
Ban Dan,TH530111,Mueang Uttaradit,TH5301,Uttaradit,TH53,Thailand,TH,0.285483,0.002893
Ban Dan,TH640202,Ban Dan Lan Hoi,TH6402,Sukhothai,TH64,Thailand,TH,0.670709,0.008026
Ban Dan Na Kham,TH530110,Mueang Uttaradit,TH5301,Uttaradit,TH53,Thailand,TH,0.756862,0.015271
Ban Dara,TH530702,Phichai,TH5307,Uttaradit,TH53,Thailand,TH,0.279846,0.003657
Ban Don,TH361011,Phu Khiao,TH3610,Chaiyaphum,TH36,Thailand,TH,0.393767,0.004302
Ban Don,TH720904,U Thong,TH7209,Suphan Buri,TH72,Thailand,TH,0.289508,0.002679
Ban Dong,TH400802,Ubolratana,TH4008,Khon Kaen,TH40,Thailand,TH,0.478907,0.008073
Ban Dong,TH520201,Mae Mo,TH5202,Lampang,TH52,Thailand,TH,0.986496,0.020986
Ban Dong,TH650304,Chat Trakan,TH6503,Phitsanulok,TH65,Thailand,TH,1.13466,0.02967
Ban Du,TH311303,Na Pho,TH3113,Buri Ram,TH31,Thailand,TH,0.343649,0.003593
Ban Du,TH451410,At Samat,TH4514,Roi Et,TH45,Thailand,TH,0.238695,0.002467
Ban Du,TH570103,Mueang Chiang Rai,TH5701,Chiang Rai,TH57,Thailand,TH,0.382767,0.005533
Ban Duea,TH360403,Kaset Sombun,TH3604,Chaiyaphum,TH36,Thailand,TH,0.544217,0.010935
Ban Duea,TH430109,Mueang Nong Khai,TH4301,Nong Khai,TH43,Thailand,TH,0.366876,0.003248
Ban Duea,TH430205,Tha Bo,TH4302,Nong Khai,TH43,Thailand,TH,0.33567,0.003441
Ban Dung,TH411102,Ban Dung,TH4111,Udon Thani,TH41,Thailand,TH,0.674347,0.007499
Ban Fa,TH550301,Ban Luang,TH5503,Nan,TH55,Thailand,TH,0.54959,0.012597
Ban Fai,TH530402,Nam Pat,TH5304,Uttaradit,TH53,Thailand,TH,0.727245,0.013971
Ban Fang,TH400206,Ban Fang,TH4002,Khon Kaen,TH40,Thailand,TH,0.491806,0.003882
Ban Fang,TH400907,Kranuan,TH4009,Khon Kaen,TH40,Thailand,TH,0.357564,0.004292
Ban Fang,TH431403,Sakhrai,TH4314,Nong Khai,TH43,Thailand,TH,0.532606,0.008697
Ban Fang,TH450206,Kaset Wisai,TH4502,Roi Et,TH45,Thailand,TH,0.342956,0.003327
Ban Hae,TH150105,Mueang Ang Thong,TH1501,Ang Thong,TH15,Thailand,TH,0.112574,0.000333
Ban Haeng,TH520508,Ngao,TH5205,Lampang,TH52,Thailand,TH,0.723366,0.013068
Ban Haet,TH402401,Ban Haet,TH4024,Khon Kaen,TH40,Thailand,TH,0.426762,0.005057
Ban Han,TH302002,Sikhio,TH3020,Nakhon Ratchasima,TH30,Thailand,TH,0.38309,0.002653
Ban Han,TH360402,Kaset Sombun,TH3604,Chaiyaphum,TH36,Thailand,TH,0.67984,0.00839
Ban Han,TH402503,Non Sila,TH4025,Khon Kaen,TH40,Thailand,TH,0.423532,0.006448
Ban Han,TH901404,Bang Klam,TH9014,Songkhla,TH90,Thailand,TH,0.120906,0.000833
Ban Hat,TH760602,Ban Lat,TH7606,Phetchaburi,TH76,Thailand,TH,0.146207,0.000647
Ban Hin Ngom,TH412006,Sang Khom,TH4120,Udon Thani,TH41,Thailand,TH,0.345264,0.003296
Ban Hip,TH141404,Uthai,TH1414,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.233562,0.001796
Ban Hoi,TH250703,Prachantakham,TH2507,Prachin Buri,TH25,Thailand,TH,0.284204,0.001859
Ban Hong,TH510301,Ban Hong,TH5103,Lamphun,TH51,Thailand,TH,0.412844,0.006756
Ban Huat,TH520509,Ngao,TH5205,Lampang,TH52,Thailand,TH,0.942896,0.027052
Ban It,TH150108,Mueang Ang Thong,TH1501,Ang Thong,TH15,Thailand,TH,0.115778,0.000753
Ban Kaeng,TH530202,Tron,TH5302,Uttaradit,TH53,Thailand,TH,0.401476,0.003519
Ban Kaeng,TH600111,Mueang Nakhon Sawan,TH6001,Nakhon Sawan,TH60,Thailand,TH,0.276871,0.002631
Ban Kaeng,TH640510,Si Satchanalai,TH6405,Sukhothai,TH64,Thailand,TH,1.423063,0.040719
Ban Kaeng,TH191302,Chaloem Phra Kiat,TH1913,Saraburi,TH19,Thailand,TH,0.220253,0.001354
Ban Kaeng,TH270102,Mueang Sa Kaeo,TH2701,Sa Kaeo,TH27,Thailand,TH,0.701619,0.00957
Ban Kaeng,TH361004,Phu Khiao,TH3610,Chaiyaphum,TH36,Thailand,TH,0.709198,0.010129
Ban Kaeng,TH361204,Kaeng Khro,TH3612,Chaiyaphum,TH36,Thailand,TH,0.425291,0.004971
Ban Kaeng,TH480712,Na Kae,TH4807,Nakhon Phanom,TH48,Thailand,TH,0.392117,0.005311
Ban Kaeng,TH490307,Don Tan,TH4903,Mukdahan,TH49,Thailand,TH,0.240284,0.002246
Ban Kao,TH200507,Phan Thong,TH2005,Chon Buri,TH20,Thailand,TH,0.240085,0.001343
Ban Kao,TH300806,Dan Khun Thot,TH3008,Nakhon Ratchasima,TH30,Thailand,TH,0.593758,0.007743
Ban Kao,TH610405,Nong Chang,TH6104,Uthai Thani,TH61,Thailand,TH,0.177949,0.001325
Ban Kao,TH710113,Mueang Kanchanaburi,TH7101,Kanchanaburi,TH71,Thailand,TH,1.460414,0.027909
Ban Kat,TH502201,Mae Wang,TH5022,Chiang Mai,TH50,Thailand,TH,0.407619,0.00356
Ban Kat,TH540408,Sung Men,TH5404,Phrae,TH54,Thailand,TH,0.094758,0.000442
Ban Kat,TH580401,Mae Sariang,TH5804,Mae Hong Son,TH58,Thailand,TH,0.739408,0.020761
Ban Kha,TH480806,Si Songkhram,TH4808,Nakhon Phanom,TH48,Thailand,TH,0.574641,0.007987
Ban Kha,TH701001,Ban Kha,TH7010,Ratchaburi,TH70,Thailand,TH,0.780737,0.012418
Ban Kha,TH520115,Mueang Lampang,TH5201,Lampang,TH52,Thailand,TH,0.574918,0.010936
Ban Khae,TH140803,Phak Hai,TH1408,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.110054,0.000461
Ban Khaem,TH341919,Phibun Mangsahan,TH3419,Ubon Ratchathani,TH34,Thailand,TH,0.340305,0.004227
Ban Khai,TH210501,Ban Khai,TH2105,Rayong,TH21,Thailand,TH,0.201079,0.001145
Ban Khai,TH360105,Mueang Chaiyaphum,TH3601,Chaiyaphum,TH36,Thailand,TH,0.487647,0.002587
Ban Kham,TH360603,Chatturat,TH3606,Chaiyaphum,TH36,Thailand,TH,0.394268,0.004192
Ban Kham,TH390106,Mueang Nong Bua Lam Phu,TH3901,Nong Bua Lam Phu,TH39,Thailand,TH,0.344931,0.005251
Ban Kham,TH400707,Nam Phong,TH4007,Khon Kaen,TH40,Thailand,TH,0.358745,0.004653
Ban Khao,TH410103,Mueang Udon Thani,TH4101,Udon Thani,TH41,Thailand,TH,0.36739,0.003897
Ban Khao,TH900711,Ranot,TH9007,Songkhla,TH90,Thailand,TH,0.433484,0.008536
Ban Khlang,TH140507,Bang Ban,TH1405,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.134788,0.000703
Ban Khlo,TH140717,Bang Pahan,TH1407,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.154348,0.001048
Ban Khlong,TH650114,Mueang Phitsanulok,TH6501,Phitsanulok,TH65,Thailand,TH,0.160808,0.000691
Ban Khlong Suan,TH110502,Phra Samut Chedi,TH1105,Samut Prakan,TH11,Thailand,TH,0.29815,0.00318
Ban Kho,TH521302,Mueang Pan,TH5213,Lampang,TH52,Thailand,TH,0.722057,0.02101
Ban Kho,TH390305,Non Sang,TH3903,Nong Bua Lam Phu,TH39,Thailand,TH,0.497091,0.006594
Ban Kho,TH400110,Mueang Khon Kaen,TH4001,Khon Kaen,TH40,Thailand,TH,0.608056,0.010343
Ban Kho,TH411712,Ban Phue,TH4117,Udon Thani,TH41,Thailand,TH,0.38879,0.00266
Ban Kho,TH481005,Phon Sawan,TH4810,Nakhon Phanom,TH48,Thailand,TH,0.672689,0.013499
Ban Kho,TH490506,Khamcha-I,TH4905,Mukdahan,TH49,Thailand,TH,0.5469,0.008924
Ban Khoi,TH160118,Mueang Lop Buri,TH1601,Lop Buri,TH16,Thailand,TH,0.182023,0.00121
Ban Khok,TH390502,Suwannakhuha,TH3905,Nong Bua Lam Phu,TH39,Thailand,TH,0.62688,0.008208
Ban Khok,TH402201,Khok Pho Chai,TH4022,Khon Kaen,TH40,Thailand,TH,0.403621,0.005917
Ban Khok,TH402302,Nong Na Kham,TH4023,Khon Kaen,TH40,Thailand,TH,0.278652,0.003464
Ban Khok,TH412004,Sang Khom,TH4120,Udon Thani,TH41,Thailand,TH,0.452422,0.006713
Ban Khok,TH490103,Mueang Mukdahan,TH4901,Mukdahan,TH49,Thailand,TH,0.514613,0.008557
Ban Khok,TH530602,Ban Khok,TH5306,Uttaradit,TH53,Thailand,TH,0.529388,0.010441
Ban Khok,TH670109,Mueang Phetchabun,TH6701,Phetchabun,TH67,Thailand,TH,0.560066,0.007136
Ban Khon,TH530708,Phichai,TH5307,Uttaradit,TH53,Thailand,TH,0.398182,0.00422
Ban Khong,TH720910,U Thong,TH7209,Suphan Buri,TH72,Thailand,TH,0.621636,0.008146
Ban Khong,TH700706,Photharam,TH7007,Ratchaburi,TH70,Thailand,TH,0.166369,0.000944
Ban Khot,TH200103,Mueang Chon Buri,TH2001,Chon Buri,TH20,Thailand,TH,0.054079,0.000067
Ban Khrua,TH190608,Ban Mo,TH1906,Saraburi,TH19,Thailand,TH,0.155233,0.000965
Ban Khu,TH311302,Na Pho,TH3113,Buri Ram,TH31,Thailand,TH,0.336881,0.004408
Ban Khuan,TH860406,Lang Suan,TH8604,Chumphon,TH86,Thailand,TH,0.572362,0.008976
Ban Khuan,TH910104,Mueang Satun,TH9101,Satun,TH91,Thailand,TH,0.245281,0.001876
Ban Khuan,TH920105,Mueang Trang,TH9201,Trang,TH92,Thailand,TH,0.188153,0.001188
Ban Khuan Mut,TH801901,Chulabhorn,TH8019,Nakhon Si Thammarat,TH80,Thailand,TH,0.185635,0.000714
Ban Khueang,TH451806,Chiang Khwan,TH4518,Roi Et,TH45,Thailand,TH,0.21319,0.002051
Ban Khwang,TH141510,Maha Rat,TH1415,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.164897,0.00093
Ban Khwao,TH360201,Ban Khwao,TH3602,Chaiyaphum,TH36,Thailand,TH,0.500422,0.004954
Ban Kio,TH521004,Mae Tha,TH5210,Lampang,TH52,Thailand,TH,0.523855,0.00633
Ban Klang,TH130103,Mueang Pathum Thani,TH1301,Pathum Thani,TH13,Thailand,TH,0.142757,0.000813
Ban Klang,TH480109,Mueang Nakhon Phanom,TH4801,Nakhon Phanom,TH48,Thailand,TH,0.342944,0.003076
Ban Klang,TH501207,San Pa Tong,TH5012,Chiang Mai,TH50,Thailand,TH,0.233714,0.001573
Ban Klang,TH510112,Mueang Lamphun,TH5101,Lamphun,TH51,Thailand,TH,0.283308,0.001599
Ban Klang,TH540602,Song,TH5406,Phrae,TH54,Thailand,TH,0.829224,0.007689
Ban Klang,TH650804,Wang Thong,TH6508,Phitsanulok,TH65,Thailand,TH,0.988022,0.02766
Ban Klang,TH670319,Lom Sak,TH6703,Phetchabun,TH67,Thailand,TH,1.047328,0.017797
Ban Klang,TH800604,Chian Yai,TH8006,Nakhon Si Thammarat,TH80,Thailand,TH,0.178369,0.000777
Ban Klang,TH810509,Ao Luek,TH8105,Krabi,TH81,Thailand,TH,0.287468,0.003727
Ban Klang,TH940409,Panare,TH9404,Pattani,TH94,Thailand,TH,0.204939,0.002087
Ban Klap,TH190802,Nong Don,TH1908,Saraburi,TH19,Thailand,TH,0.249537,0.002142
Ban Kluai,TH160603,Ban Mi,TH1606,Lop Buri,TH16,Thailand,TH,0.187021,0.000543
Ban Kluai,TH180102,Mueang Chai Nat,TH1801,Chai Nat,TH18,Thailand,TH,0.265031,0.002267
Ban Kluai,TH640106,Mueang Sukhothai,TH6401,Sukhothai,TH64,Thailand,TH,0.491575,0.008503
Ban Kluai,TH670206,Chon Daen,TH6702,Phetchabun,TH67,Thailand,TH,0.658015,0.010282
Ban Klueng,TH140411,Bang Sai,TH1404,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.163233,0.000951
Ban Ko,TH140116,Phra Nakhon Si Ayutthaya,TH1401,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.150307,0.000746
Ban Ko,TH140418,Bang Sai,TH1404,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.13824,0.000593
Ban Ko,TH300112,Mueang Nakhon Ratchasima,TH3001,Nakhon Ratchasima,TH30,Thailand,TH,0.122289,0.000536
Ban Ko,TH530103,Mueang Uttaradit,TH5301,Uttaradit,TH53,Thailand,TH,0.20898,0.001552
Ban Ko,TH740115,Mueang Samut Sakhon,TH7401,Samut Sakhon,TH74,Thailand,TH,0.355554,0.002426
Ban Ko,TH800202,Phrom Khiri,TH8002,Nakhon Si Thammarat,TH80,Thailand,TH,0.43567,0.002744
Ban Kok,TH340412,Khueang Nai,TH3404,Ubon Ratchathani,TH34,Thailand,TH,0.174313,0.001277
Ban Kok,TH360601,Chatturat,TH3606,Chaiyaphum,TH36,Thailand,TH,0.8691,0.008247
Ban Kong,TH400403,Nong Ruea,TH4004,Khon Kaen,TH40,Thailand,TH,0.29863,0.003283
Ban Kong,TH412202,Na Yung,TH4122,Udon Thani,TH41,Thailand,TH,0.73295,0.011968
Ban Krachaeng,TH130105,Mueang Pathum Thani,TH1301,Pathum Thani,TH13,Thailand,TH,0.079473,0.000271
Ban Krang,TH640402,Kong Krailat,TH6404,Sukhothai,TH64,Thailand,TH,0.177473,0.001014
Ban Krang,TH650113,Mueang Phitsanulok,TH6501,Phitsanulok,TH65,Thailand,TH,0.333095,0.004679
Ban Krang,TH720502,Si Prachan,TH7205,Suphan Buri,TH72,Thailand,TH,0.27549,0.002299
Ban Krathum,TH141210,Sena,TH1412,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.142153,0.00085
Ban Krot,TH140604,Bang Pa-In,TH1406,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.167895,0.001143
Ban Kruat,TH310801,Ban Kruat,TH3108,Buri Ram,TH31,Thailand,TH,0.347815,0.003423
Ban Ku,TH441104,Yang Sisurat,TH4411,Maha Sarakham,TH44,Thailand,TH,0.229813,0.001937
Ban Kum,TH140516,Bang Ban,TH1405,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.170464,0.001253
Ban Kum,TH720705,Song Phi Nong,TH7207,Suphan Buri,TH72,Thailand,TH,0.21736,0.001877
Ban Kum,TH760106,Mueang Phetchaburi,TH7601,Phetchaburi,TH76,Thailand,TH,0.191755,0.001195
Ban Kwang,TH540406,Sung Men,TH5404,Phrae,TH54,Thailand,TH,0.247441,0.001842
Ban Laem,TH720410,Bang Pla Ma,TH7204,Suphan Buri,TH72,Thailand,TH,0.258428,0.001021
Ban Laem,TH760701,Ban Laem,TH7607,Phetchaburi,TH76,Thailand,TH,0.255685,0.002669
Ban Laeng,TH210107,Mueang Rayong,TH2101,Rayong,TH21,Thailand,TH,0.303721,0.003166
Ban Laeng,TH520109,Mueang Lampang,TH5201,Lampang,TH52,Thailand,TH,0.639592,0.018091
Ban Lam,TH190402,Wihan Daeng,TH1904,Saraburi,TH19,Thailand,TH,0.383055,0.003316
Ban Lamnao,TH801702,Bang Khan,TH8017,Nakhon Si Thammarat,TH80,Thailand,TH,0.67076,0.014251
Ban Lan,TH401009,Ban Phai,TH4010,Khon Kaen,TH40,Thailand,TH,0.416652,0.00511
Ban Lao,TH360108,Mueang Chaiyaphum,TH3601,Chaiyaphum,TH36,Thailand,TH,0.27348,0.002873
Ban Lao,TH400204,Ban Fang,TH4002,Khon Kaen,TH40,Thailand,TH,0.327946,0.002873
Ban Lao,TH411907,Phen,TH4119,Udon Thani,TH41,Thailand,TH,0.364105,0.005756
Ban Lao,TH471601,Charoen Sin,TH4716,Sakon Nakhon,TH47,Thailand,TH,0.486706,0.011334
Ban Lao,TH490507,Khamcha-I,TH4905,Mukdahan,TH49,Thailand,TH,0.585322,0.011189
Ban Lao,TH540405,Sung Men,TH5404,Phrae,TH54,Thailand,TH,0.367017,0.003022
Ban Lao,TH560705,Mae Chai,TH5607,Phayao,TH56,Thailand,TH,0.459931,0.008401
Ban Lat,TH760601,Ban Lat,TH7606,Phetchaburi,TH76,Thailand,TH,0.156554,0.000311
Ban Len,TH140601,Bang Pa-In,TH1406,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.219998,0.001138
Ban Li,TH140713,Bang Pahan,TH1407,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.149462,0.000544
Ban Luang,TH141216,Sena,TH1412,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.11681,0.000719
Ban Luang,TH190703,Don Phut,TH1907,Saraburi,TH19,Thailand,TH,0.194631,0.001061
